"Name","year","CHLcal"
"Wapsipinicon",2015,124.279123571429
"Apple",2016,13.2243785714286
"BlackRiver",2016,16.20579125
"Cannon",2016,26.123095625
"Chippewa",2016,11.111691875
"Cuivre",2016,16.4291371428571
"Dardenne",2016,14.1909857142857
"Maquotketa",2016,27.5020364285714
"Vermillion",2016,28.84221
"Wapsipinicon",2016,71.5963071428571
"Apple",2017,8.41330285714286
"BlackRiver",2017,17.671713125
"Cannon",2017,24.698674375
"Chippewa",2017,10.9260725
"Cuivre",2017,17.0682769230769
"Dardenne",2017,39.3241030769231
"Maquotketa",2017,24.437728
"Vermillion",2017,34.532608125
"Wapsipinicon",2017,95.3574078571429
"Apple",2018,26.7223642857143
"BlackRiver",2018,27.5420875
"Cannon",2018,17.04311875
"Chippewa",2018,12.4228875
"Cuivre",2018,54.1028785714286
"Dardenne",2018,22.5378
"Maquotketa",2018,38.3751928571429
"Vermillion",2018,26.90233125
"Wapsipinicon",2018,30.2699857142857
